საქონლის კოდი,საქონლის დასახელება,ზომის ერთეული,რაოდ.,ერთეულის ფასი,საქონლის ფასი,დაბეგვრა,ზედნადების ნომერი,სტატუსი,მყიდველი,გამყიდველი,ზედნადების ტიპი,ტრანსპორტირების დაწყება,ტრანსპორტირების დასრულება,მძღოლი,ა/მ ნომერი,გააქტიურების თარიღი,ტრანსპორტირების დაწყების თარიღი,ტრანსპ. თანხა,შენიშვნა,ქვე-მომხმარებელი,ფირნიშის ან ცნობის ნომერი,დოკუმენტის N,
01347,მილი EMIRPLAST მინაბოჭკო 25 PN20,ცალი,2,2.10,4.20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00135,სამკაპი 25,ცალი,4,0.55,2.20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00025,გადამყვანი 32/25,ცალი,4,0.50,2,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00127,გადამყვანი 25/20,ცალი,4,0.30,1.20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00238,ამერიკანკა 32 შ/ხ,ცალი,2,9,18,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00023,მუფტა 20,ცალი,4,0.22,0.88,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00005,მუფტა 25,ცალი,4,0.30,1.20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
13242.09128,საიზოლაციო მილი 28/9 MM (130 M/KT),ცალი,4,1.70,6.80,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
02333,სანტექნიკის პაკლი A,ცალი,2,2,4,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
40პ,პარანიტის შუა სადები დ 40,ცალი,2,2,4,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
809484,თითბერის შტუცერი 1/2 გხ-10,ცალი,1,2,2,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
01194,თითბერის ვინტილი ბურთულიანი 1/2 შ/ხ,ცალი,2,10,20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
809346,მუხლი 25/90 Thermalino,ცალი,20,0.40,8,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
02327,შავი იზოლაცია,ცალი,4,3,12,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
809320,გერმეტიკი VALFEX,ცალი,1,20,20,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
03996,დამცავი სარქველი 6 ბარ ICMA,ცალი,1,27,27,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
809089,დამცავი ყდა თბოიზოლაციისთვის,ცალი,20,1.70,34,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
M-3758,1.09A - 4.2x16-12000 შავი თვითმჭრელი დაპრესილი საკისრით ბურღით,ცალი,2000,0.0280,56,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
M-4208,B) სჭვალი პრეს/შ  4.2*16 ბურღ/შავი (1000/18000),ცალი,3000,0.0220,66,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
16265,"DeKOR სამღ. ლილვაკი ""ექსპორტი"" პატარა 10სმ 1084(50ც)""წითელ ტარიანი""",ცალი,6,5,30,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
16183,"საჭრელი რგოლი 230*2,5*22,23 14 A",ცალი,40,3,120,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
16181,"საჭრელი რგოლი 125*1,6*22,23 14 A",ცალი,150,2,300,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
M-3736,2.03-8x40-25 კგ ჭანჭიკი,კგ,19,8,152,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
M-3405,(G) ჭანჭიკი   8*  40,კგ,6,8,48,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
M-4252,ქანჩი M 8 მმ DIN 934 (A/3),კგ,25,8,200,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
17795,Magmaweld Rutil Welding Electrode ESR 13 - 2.5 x 350 (mm) -2.15 kg /ელექტროდი,ცალი,15,20,300,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
17796,Magmaweld Rutil Welding Electrode ESR 13 - 3.25 x350 (mm) -3.36 kg /ელექტროდი,ცალი,6,25,150,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
20296,ელ. სადენი H05VV-F (TTR) 2X2.5 - (სამმაგში),მეტრი,100,2.80,280,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
18861,მტვერის ნიღაბი (რესპირატორი),ცალი,10,3,30,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
19427,ამრეკლი ჟილეტი YRV01,ცალი,50,4,200,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
SCW36T,დამცავი თავსაბურავი (თეთრი),ცალი,10,12,120,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
17180,"მარკერი (ფერადი) ""PERMA""",ცალი,48,1,48,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
0491,აირწინაღი კარტრიჯით 1-ნი,ცალი,4,12,48,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
18464,რესპირატორი EG01,ცალი,1,12,12,ჩვეულებრივი,0974014971,დასრულებული,(400017245) შპს აი-სი-ი,(400223254) შპს  გეგა 2012,ტრანსპორტირებით,"ქ.თბილისი ხოშარაულის ქუჩა გამომცემლობა სამშობლოს მოპირდაპირე მხარე მაღაზია 9,10,11,14,15,16","ქ.თბილისი,17 შინდისელი გმირის # 22",(04001014731) ბექა გელოვანი,IC090EE,25-აპრ-2026 13:44:54,25-აპრ-2026 13:44:00,0,საქართველოს ბანკი GE68BG0000000026544800GEL beka.wiklauri@yahoo.com,,, ,
10104660,პროფ.მილი 150x150x5,მეტრი,360,56,20160,ჩვეულებრივი,0974027407,აქტიური,(400017245) შპს აი-სი-ი,(445821353) შპს გთემ სთილ,ტრანსპორტირებით,"ბათუმი, ბაგრატიონის 99",ქ.ბათუმი ბაგრატიონის ქ 127,(61006021965) თამაზ აბესაძე,XX995VX,25-აპრ-2026 14:57:19,25-აპრ-2026 14:57:19,0,ჩარიცხვა,ს. მ.,, ,
7295,"სავენტილაციო ჰაერსატარი 0,7მმ",კვ.მ,140,0,0,ჩვეულებრივი,0974216140,აქტიური,(400017245) შპს აი-სი-ი,(400017245) შპს აი-სი-ი,შიდა გადაზიდვა,"ალექსანდრე თვალჭრელიძის ქუჩა N7, ვარკეთილის რაიონი, თბილისი",17 შინდისელი გმირის ქუჩა ნომერი 22,(01027057218) ალექსეი ოთარაშვილი,RR957SR,27-აპრ-2026 10:49:55,27-აპრ-2026 10:49:55,175,,,, ,
10104658,პროფ.მილი 200X200x5,მეტრი,108,75.50,8154,ჩვეულებრივი,0974219665,აქტიური,(400017245) შპს აი-სი-ი,(445821353) შპს გთემ სთილ,ტრანსპორტირებით,"ბათუმი, ბაგრატიონის 99 	",ქ.ბათუმი ბაგრატიონის ქ 127,(61001062581) გიორგი ბაიაძე,BX490XX,27-აპრ-2026 10:58:11,27-აპრ-2026 10:58:15,0,ჩარიცხვა,445821353,, ,
8692730501494,Acord ჭურჭლი სარეცხი ღრუბელი ბრტყელი 5 ცალიანი,ცალი,1,1.35,1.35,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
8700216992657,ფეირი ლიმონი 21X500მლ,ცალი,2,4.50,9,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
4860007190014,მაგიდის ტილო მინი-ნაჩვრეტიანი 3ცალიანი,ცალი,1,1.80,1.80,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
8681503111220,"VİNDEX-მიკროფიბრის საწმენდი ტილო 28x28  (200 GSM), 4 ცალი (24)",ცალი,1,7.70,7.70,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
4860118620486,ნაგვის პარკი შავი 80/110 (300გრ),ცალი,2,2.30,4.60,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
7290012514241,"4241-BAGI ტილო მიკროფიბრა, მაგ/ტილო 40/40 (1ც)(კლეტკიანი)(7290012514241)",ცალი,1,5.95,5.95,ჩვეულებრივი,0974225141,დასრულებული,(400017245) შპს აი-სი-ი,(445427119) შპს პროვაიდერ.ჯი PROVIDER.GE,ტრანსპორტირებით,"ბათუმი, თავდადებულის 4/29","ქ.ბათუმი,ვაჟა ფშაველას 17.",() ,,27-აპრ-2026 11:09:52,27-აპრ-2026 11:09:52,0,,გიორგი ცენტერაძე,, ,
